QSFP_Port,QSFP_Lane,Quad,TX_Lane,TX_PN_Swap,RX_Lane,RX_PN_Swap,TX_Attn,TX_Pre,TX_Post,Repeater,Egress_Repeater,Egress_Repeater_I2C_Addr,Egress_Repeater_Lane,Ingress_Repeater,Ingress_Repeater_I2C_Addr,Ingress_Repeater_Lane,Egress_EQ_BST1,Egress_EQ_BST2,Egress_EQ_BW,Egress_EQ_BST_BYPASS,Ingress_EQ_BST1,Ingress_EQ_BST2,Ingress_EQ_BW,Ingress_EQ_BST_BYPASS
1,0,31,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,Y,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
2,0,30,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
3,0,29,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
4,0,28,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
5,0,27,0,N,0,Y,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
6,0,26,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,Y,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,Y,2,2,9,No,,,,,,,,,,,,,,
7,0,25,0,Y,0,Y,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N,3,N,2,2,9,No,,,,,,,,,,,,,,
8,0,24,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N,3,Y,2,2,9,No,,,,,,,,,,,,,,
9,0,23,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N,3,Y,2,2,9,No,,,,,,,,,,,,,,
10,0,22,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,Y,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N,3,N,2,2,9,No,,,,,,,,,,,,,,
11,0,21,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,Y,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N,3,N,2,2,9,No,,,,,,,,,,,,,,
12,0,20,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,Y,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N,3,Y,2,2,9,No,,,,,,,,,,,,,,
13,0,19,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,N,2,Y,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N,3,N,2,2,9,No,,,,,,,,,,,,,,
14,0,18,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N,3,N,2,2,9,No,,,,,,,,,,,,,,
15,0,17,0,Y,0,Y,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N ,3,N,2,2,9,No,,,,,,,,,,,,,,
16,0,16,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,N ,3,N,2,2,9,No,,,,,,,,,,,,,,
17,0,15,0,N,0,Y,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,Y,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y ,3,N,2,2,9,No,,,,,,,,,,,,,,
18,0,14,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
19,0,13,0,N,0,Y,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
20,0,12,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
21,0,11,0,N,0,Y,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,Y,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
22,0,10,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,Y,2,2,9,No,,,,,,,,,,,,,,
23,0,9,0,N,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,Y,1,Y,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
,3,,3,Y,3,N,2,2,9,No,,,,,,,,,,,,,,
24,0,8,0,Y,0,N,2,2,9,No,,,,,,,,,,,,,,
,1,,1,N,1,N,2,2,9,No,,,,,,,,,,,,,,
,2,,2,Y,2,N,2,2,9,No,,,,,,,,,,,,,,
